source,target,value
inj_foreign_eye,N23,0.0461104
inj_mech_gun,N23,0.160299
inj_fires,N23,0.1740069
inj_mech_other,N23,2.405767
inj_homicide_other,N24,0.3815976
inj_poisoning,N24,0.0071731
inj_drowning,N24,0.0144785
inj_trans_road_4wheel,N24,10.72293
inj_trans_road_pedest,N24,0.8721335
inj_trans_other,N24,2.4459
inj_trans_road_2wheel,N24,0.297906
inj_homicide_gun,N24,0.0013164
inj_mech_suffocate,N24,0.0865343
inj_foreign_eye,N24,0.0014885
inj_mech_gun,N24,0.0417344
inj_animal_nonven,N24,0.0487143
inj_trans_road_other,N24,0.2861216
inj_animal_venom,N24,0.0014714
inj_suicide,N24,0.0050164
inj_mech_other,N24,1.999437
inj_trans_road_pedal,N24,2.927082
inj_fires,N24,0.0298818
inj_othunintent,N24,7.227036
inj_homicide_knife,N24,0.0058853
inj_falls,N24,14.44645
inj_foreign_aspiration,N24,0.0331068
inj_foreign_other,N24,0.0028467
inj_trans_road_4wheel,N25,20.79398
inj_homicide_knife,N25,0.029229
inj_trans_road_other,N25,0.6821931
inj_othunintent,N25,74.61363
inj_trans_road_pedest,N25,17.94643
inj_falls,N25,83.34853
inj_homicide_gun,N25,0.1723844
inj_animal_nonven,N25,0.088368
inj_trans_road_2wheel,N25,1.374166
inj_mech_suffocate,N25,0.9239089
inj_mech_gun,N25,0.3304902
inj_foreign_eye,N25,0.0067601
inj_foreign_aspiration,N25,0.0942577
inj_suicide,N25,0.0768739
inj_animal_venom,N25,0.0146414
inj_fires,N25,0.6745645
inj_trans_other,N25,3.805079
inj_trans_road_pedal,N25,16.36111
inj_poisoning,N25,0.0264504
inj_mech_other,N25,5.392131
inj_foreign_other,N25,0.0695218
inj_drowning,N25,0.0762993
inj_homicide_other,N25,1.162182
inj_foreign_eye,N26,0.0069414
inj_homicide_other,N26,2.512692
inj_homicide_knife,N26,0.139634
inj_foreign_aspiration,N26,0.2572534
inj_othunintent,N26,56.40103
inj_trans_other,N26,4.636797
inj_falls,N26,110.4257
inj_animal_nonven,N26,0.3504745
inj_fires,N26,1.238164
inj_mech_suffocate,N26,0.6654732
